Aarlayaoa	01 07	D665458-5 T N B
Tarlirl		02 03	E666565-2 T G B
Htukheahoia	02 06	D745679-5 T N B
Uieah		02 08	D200461-9 T G B
Htyeua-as	03 04	E564234-4 T N B
Khteasa		03 05	E9A6448-3 T N B
Tryeouoaeakh	03 08	D210AC9-7 T G B
Khtaoweiha	04 09	D456688-2 T G B
1307	05 07	X7A2000-2 T G B
1401	06 01	X99A013-3 T G B
1407	06 07	X536000-0 T G B
1410	06 10	X460010-2 T G B
1501	07 01	X638000-4 T G B
1502	07 02	X9C5013-0 T G B
1506	07 06	X788000-0 T G B
1507	07 07	X327004-5 T G B
1508	07 08	X436003-4 T G B
1510	07 10	X300012-0 T G B
1606	08 06	X355005-1 T N B
1607	08 07	X565000-3 T N B

