1701	01 01	X300040-2 T N B
1707	01 07	X636034-2 T G B
1709	01 09	XA87031-0 T G B
1801	02 01	X271040-0 T G B
1803	02 03	X110049-4 T G B
1805	02 05	X566043-0 T G B
1807	02 07	X677036-0 T G B
1808	02 08	X535031-0 T G B
1904	03 04	X226047-1 T N B
1907	03 07	X649035-0 T G B
2002	04 02	X638055-2 T G B
2003	04 03	X677056-0 T N B
2006	04 06	X380000-1 T N B
2007	04 07	X7A0033-1 T G B
Htuiauiyeyo	05 02	E7A6486-5 T N B
2106	05 06	X330000-1 T N B
2108	05 08	X877025-0 T G B
2109	05 09	X437000-5 T N B
2110	05 10	X463000-3 T N B
Easihiyewa	06 02	E667212-5 T G B
2205	06 05	X786000-3 T N B
2207	06 07	X692003-0 T G B
2209	06 09	X644000-1 T G B
Hikhtyerl	07 04	E242668-6 T G B
2308	07 08	X100002-1 T N B
2309	07 09	X536000-3 T N B
Iyaea	08 01	E656447-5 T G B
Khtyakhtalr	08 03	E77A552-9 T G B
Uaseirl		08 06	E31076B-7 T G B

